罪名,全年齢層,65歳以上
殺人, 1323 ,  48 
強盗, 1444 ,  8 
放火,  640 ,  14 
強制性交等, 1329 ,  8 
暴行, 8993 ,  48 
障害, 25066 ,  141 
脅迫,  939 ,  5 
恐喝, 9467 ,  15 
窃盗, 195380 , 5137 
詐欺, 9169 ,  184 
横領, 35639 ,  645 
強制わいせつ, 1097 ,  7 
盗品譲受け等, 1270 ,  4 
器物損壊, 2400 ,  31 
その他,18836 ,330 
